City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
643,Doha,QA,85.98,haze,25.2867,51.5333,Movenpick Hotel Doha
644,Owando,CG,78.98,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
647,Sumbe,AO,76.46,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
649,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
651,Kupang,ID,82.98,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
656,Atambua,ID,86.04,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
658,Guantanamo,CU,76.57,few clouds,20.1444,-75.2092,Hotel Guantánamo
661,Sabang,ID,81.39,light rain,5.8933,95.3214,Hotel Citra
668,Manaure,CO,79.61,clear sky,11.7751,-72.4445,Hotel Palaaima
669,Seoni Malwa,IN,82.36,few clouds,22.45,77.4667,hotel naman residency
675,Koregaon,IN,85.71,overcast clouds,18.65,74.0833,hotel nisarg lounge
