City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,La Ciotat,FR,43.1748,5.6045,54.81,56,6,9.64,clear sky
158,Joaima,BR,-16.6542,-41.0306,72.07,98,100,2.37,overcast clouds
159,Tazovskiy,RU,67.4667,78.7,27.91,90,100,12.41,overcast clouds
160,Namibe,AO,-15.1961,12.1522,72.54,62,61,3.51,broken clouds
161,Moussoro,TD,13.6408,16.4901,85.26,13,0,15.01,clear sky
162,Ocampo,MX,21.65,-101.5,47.8,92,9,6.46,clear sky
163,Mount Gambier,AU,-37.8333,140.7667,76.91,25,78,9.22,broken clouds
164,Igbo Ora,NG,7.4333,3.2833,76.44,88,43,2.91,scattered clouds
165,Victoria,HK,22.2855,114.1577,84.04,79,10,8.99,clear sky
166,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.67,93,3,8.43,clear sky
167,Buala,SB,-8.145,159.5921,81.48,76,98,5.77,light rain
168,Namanga,KE,-2.5433,36.7905,73.99,58,96,6.93,light rain
169,Kosh-Agach,RU,50.0,88.6667,5.05,41,7,2.04,clear sky
170,Arraial Do Cabo,BR,-22.9661,-42.0278,70.11,86,11,7.61,few clouds
171,Meulaboh,ID,4.1363,96.1285,82.94,75,94,7.7,overcast clouds
172,Tsiroanomandidy,MG,-18.7667,46.0333,91.71,25,66,5.99,broken clouds
173,Nanortalik,GL,60.1432,-45.2371,31.15,84,100,5.5,overcast clouds
174,Shepsi,RU,44.0361,39.1489,65.95,64,9,2.17,clear sky
175,Henties Bay,NA,-22.116,14.2845,61.63,81,39,5.08,scattered clouds
176,Port Hardy,CA,50.6996,-127.4199,50.0,76,75,11.5,broken clouds
177,Kita,ML,13.0349,-9.4895,74.77,71,14,1.74,few clouds
178,Santa Cruz De Tenerife,ES,28.4682,-16.2546,70.65,85,75,1.01,drizzle
179,Chokurdakh,RU,70.6333,147.9167,-9.74,97,31,7.85,scattered clouds
180,Hami,CN,42.8,93.45,26.01,70,100,1.63,overcast clouds
181,Gonzales,US,30.2385,-90.9201,57.18,85,90,5.75,overcast clouds
182,Batagay,RU,67.6333,134.6333,-3.46,97,24,4.79,few clouds
183,Royan,FR,45.6285,-1.0281,46.38,88,10,7.63,clear sky
184,Redmond,US,47.674,-122.1215,50.54,85,100,1.01,overcast clouds
185,Torbay,CA,47.6666,-52.7314,36.75,90,1,6.91,clear sky
186,Pisco,PE,-13.7,-76.2167,61.02,88,0,4.61,clear sky
187,Ayan,RU,56.45,138.1667,31.5,95,100,5.03,overcast clouds
188,Saint John,CA,45.2727,-66.0677,28.18,94,75,0.0,broken clouds
189,Morros,BR,-9.4467,-46.3003,69.89,94,100,3.13,overcast clouds
190,Bethel,US,41.3712,-73.414,41.7,78,7,4.81,clear sky
191,Brigantine,US,39.4101,-74.3646,45.01,70,75,6.91,broken clouds
192,Nisia Floresta,BR,-6.0911,-35.2086,79.18,89,28,4.59,scattered clouds
193,Shingu,JP,33.7333,135.9833,68.99,57,9,1.99,clear sky
194,East London,ZA,-33.0153,27.9116,68.94,88,75,8.05,broken clouds
195,Kulhudhuffushi,MV,6.6221,73.07,81.5,80,99,14.27,overcast clouds
196,Hirara,JP,24.8,125.2833,73.67,88,75,10.36,mist
197,Tomar,PT,39.602,-8.4092,47.39,74,0,3.71,clear sky
198,Petrozavodsk,RU,61.7849,34.3469,42.26,87,75,4.47,light rain
199,Geraldton,AU,-28.7667,114.6,72.12,46,0,21.85,clear sky
200,Saint-Philippe,RE,-21.3585,55.7679,83.48,74,5,2.35,clear sky
201,Saint Anthony,US,45.0205,-93.218,43.14,79,1,1.99,clear sky
202,Klyuchi,RU,52.2667,79.1667,24.03,64,100,15.12,overcast clouds
203,Souillac,MU,-20.5167,57.5167,82.78,65,40,10.36,scattered clouds
204,Shu,KZ,43.5983,73.7614,26.22,25,0,7.14,clear sky
205,Boone,US,39.0334,-92.3335,40.78,83,0,1.99,clear sky
206,Lazaro Cardenas,MX,17.9583,-102.2,75.76,89,100,4.63,overcast clouds
207,Ikeda,JP,34.8221,135.4298,67.75,57,40,5.75,scattered clouds
208,Ahipara,NZ,-35.1667,173.1667,60.08,96,94,7.58,overcast clouds
209,Yurty,RU,56.0498,97.6348,18.54,46,100,11.83,overcast clouds
210,Kavaratti,IN,10.5669,72.642,82.49,75,100,11.48,moderate rain
211,Airai,TL,-8.9266,125.4092,71.78,70,100,2.21,heavy intensity rain
212,Ha Tinh,VN,18.3333,105.9,84.52,70,66,6.69,broken clouds
213,Bekhteyevka,RU,50.8072,37.2085,54.5,90,100,13.15,overcast clouds
214,Hornepayne,CA,49.2138,-84.7705,32.97,84,95,8.48,overcast clouds
215,Shache,CN,38.4167,77.2406,54.54,20,44,15.21,scattered clouds
216,Rincon,US,32.296,-81.2354,49.86,88,75,1.01,broken clouds
217,Nexo,DK,55.0607,15.1306,44.69,81,100,23.49,overcast clouds
218,Micheweni,TZ,-4.9667,39.8333,84.6,65,18,4.54,few clouds
219,Kudahuvadhoo,MV,2.6708,72.8944,82.11,78,100,16.31,overcast clouds
220,Tuatapere,NZ,-46.1333,167.6833,52.83,70,93,4.36,overcast clouds
221,Vaitape,PF,-16.5167,-151.75,79.05,76,27,12.73,light rain
222,Atasu,KZ,48.6814,71.6433,26.47,27,26,4.27,scattered clouds
223,Mount Isa,AU,-20.7333,139.5,98.37,19,40,5.75,scattered clouds
224,Alofi,NU,-19.0595,-169.9187,75.09,78,96,8.05,overcast clouds
225,Khorramshahr,IR,30.4397,48.1664,73.36,46,0,9.22,clear sky
226,Garmsar,IR,35.2182,52.3409,60.93,61,100,5.06,overcast clouds
227,Vardo,NO,70.3705,31.1107,37.6,65,100,14.34,overcast clouds
228,Gladstone,AU,-23.85,151.25,78.73,57,75,14.97,broken clouds
229,Zhigalovo,RU,54.8097,105.1578,13.41,72,100,9.33,overcast clouds
230,Quelimane,MZ,-17.8786,36.8883,87.3,52,55,4.74,broken clouds
231,Nouakchott,MR,18.0858,-15.9785,67.93,42,15,7.14,few clouds
232,Coari,BR,-4.085,-63.1414,73.63,96,100,0.76,overcast clouds
233,Chemainus,CA,48.9163,-123.7194,51.35,78,100,4.38,overcast clouds
234,Galashki,RU,43.1136,44.9894,48.72,75,11,3.27,few clouds
235,Teahupoo,PF,-17.8333,-149.2667,73.36,77,49,12.53,light rain
236,Vidim,RU,56.4088,103.1106,12.69,84,100,11.25,light snow
237,Maniitsoq,GL,65.4167,-52.9,28.47,92,100,15.46,snow
238,Tromso,NO,69.6496,18.957,39.22,70,0,0.0,clear sky
239,Lakselv,NO,70.0513,24.9718,33.62,93,75,17.27,broken clouds
240,Dicabisagan,PH,17.0818,122.4157,83.07,76,33,4.16,scattered clouds
241,Beberibe,BR,-4.1797,-38.1306,80.64,84,12,7.27,few clouds
242,Prince Rupert,CA,54.3161,-130.3201,49.69,87,100,21.85,light rain
243,Constantine,DZ,36.365,6.6147,45.81,93,75,3.44,broken clouds
244,Rengo,CL,-34.4167,-70.8667,47.23,51,0,2.82,clear sky
245,Tura,IN,25.5198,90.2201,78.03,52,7,3.42,clear sky
246,Pevek,RU,69.7008,170.3133,-7.98,96,88,6.76,overcast clouds
247,Aswan,EG,24.0934,32.907,76.3,38,0,8.05,clear sky
248,Amga,RU,60.8953,131.9608,21.04,94,100,10.71,light snow
249,Outjo,NA,-20.1167,16.15,79.72,13,8,3.27,clear sky
250,Providencia,MX,28.7167,-111.5833,71.85,37,0,4.45,clear sky
251,Shangzhi,CN,45.2167,127.9667,56.28,60,6,2.73,clear sky
252,Shubarshi,KZ,48.5872,57.1869,33.21,25,48,10.31,scattered clouds
253,Georgetown,MY,5.4112,100.3354,87.75,73,20,2.3,few clouds
254,Elin Pelin,BG,42.6667,23.6,58.37,93,88,3.44,mist
255,Maragogi,BR,-9.0122,-35.2225,75.72,87,94,10.33,overcast clouds
256,Lorengau,PG,-2.0226,147.2712,83.14,69,100,8.86,overcast clouds
257,Miri,MY,4.4148,114.0089,87.94,66,40,5.75,scattered clouds
258,Lompoc,US,34.6391,-120.4579,66.78,88,1,0.0,clear sky
259,Lianzhou,CN,24.7811,112.3825,83.7,62,81,6.13,broken clouds
260,Dakar,SN,14.6937,-17.4441,76.08,100,100,0.0,overcast clouds
261,San Quintin,MX,30.4833,-115.95,62.96,86,0,5.84,clear sky
262,Dunedin,NZ,-45.8742,170.5036,52.09,76,13,2.77,few clouds
263,Ripon,GB,54.1352,-1.5212,47.01,88,100,4.54,overcast clouds
264,Mana,GF,5.6592,-53.7767,78.12,84,28,8.66,scattered clouds
265,Safonovo,RU,55.15,33.2167,47.95,93,100,13.09,light rain
266,Lisala,CD,2.15,21.5167,76.62,81,100,1.28,overcast clouds
267,Ryotsu,JP,38.0833,138.4333,58.96,69,60,8.84,broken clouds
268,Calama,CL,-22.4667,-68.9333,41.49,30,0,13.8,clear sky
269,Yulin,CN,22.6333,110.15,82.15,70,99,10.65,overcast clouds
270,Kroya,ID,-7.6331,109.2461,81.34,82,100,4.09,light rain
271,Ilhabela,BR,-23.7781,-45.3581,69.28,92,98,5.01,overcast clouds
272,Russell,US,32.3502,-85.1999,51.08,79,90,8.05,overcast clouds
